Date,DJUSF
2009-05-12,213.92799399999998
2009-05-13,203.281998
2009-05-14,210.481995
2009-05-15,205.397995
2009-05-18,219.24499500000002
2009-05-19,213.306
2009-05-20,208.787994
2009-05-21,209.190994
2009-05-22,206.695007
2009-05-26,215.184006
2009-05-27,206.959
2009-05-28,213.32299799999998
2009-05-29,217.160995
2009-06-01,219.06799300000003
2009-06-02,217.201996
2009-06-03,214.457001
2009-06-04,221.979996
2009-06-05,219.11099199999998
2009-06-08,220.80099500000003
2009-06-09,221.602005
2009-06-10,218.686996
2009-06-11,219.843002
2009-06-12,221.10299700000002
2009-06-15,214.83799700000003
2009-06-16,211.32299799999998
2009-06-17,206.692993
2009-06-18,210.97099300000002
2009-06-19,214.186005
2009-06-22,202.33999599999999
2009-06-23,205.216995
2009-06-24,207.384003
2009-06-25,210.876999
2009-06-26,212.266998
2009-06-29,214.61999500000002
2009-06-30,212.69500699999998
2009-07-01,212.274002
2009-07-02,203.830002
2009-07-06,205.817993
2009-07-07,201.55200200000002
2009-07-08,198.641998
2009-07-09,200.860001
2009-07-10,198.574997
2009-07-13,210.17700200000002
2009-07-14,209.671997
2009-07-15,217.766006
2009-07-16,217.835007
2009-07-17,215.895996
2009-07-20,218.266998
2009-07-21,216.628006
2009-07-22,216.73500099999998
2009-07-23,222.934006
2009-07-24,222.518997
2009-07-27,225.847
2009-07-28,225.13900800000002
2009-07-29,224.395004
2009-07-30,229.585007
2009-07-31,231.173996
2009-08-03,237.020004
2009-08-04,241.97799700000002
2009-08-05,249.020996
2009-08-06,247.44599900000003
2009-08-07,254.31799300000003
2009-08-10,252.40600600000002
2009-08-11,244.309006
2009-08-12,248.787994
2009-08-13,252.737
2009-08-14,251.097
2009-08-17,241.016006
2009-08-18,245.188995
2009-08-19,245.123993
2009-08-20,251.11000099999998
2009-08-21,256.43701200000004
2009-08-24,254.09199500000003
2009-08-25,256.839996
2009-08-26,256.742004
2009-08-27,259.02099599999997
2009-08-28,259.47900400000003
2009-08-31,258.38501
2009-09-01,246.09199500000003
2009-09-02,243.604004
2009-09-03,248.84399399999998
2009-09-04,250.632996
2009-09-08,252.520004
2009-09-09,255.97799700000002
2009-09-10,258.177002
